season_year,team_id,team_name
2026,9807,Jersey Shore Wildcats 12GRY
2026,15025,Jersey Shore Wildcats 12L
2026,9808,Jersey Shore Wildcats 12M
2026,9809,Jersey Shore Wildcats 13AA
2026,15047,Jersey Shore Wildcats 14AA
2026,9811,Jersey Shore Wildcats 14L
2026,9812,Jersey Shore Wildcats 14M
2026,9813,Jersey Shore Wildcats 15AA
2026,15094,Jersey Shore Wildcats 16AA
2026,9818,Jersey Shore Wildcats 16L
2026,9815,Jersey Shore Wildcats 18AA
2026,9816,Jersey Shore Wildcats 18GRY Karaban
2026,15134,Jersey Shore Wildcats 18GRY Lepore
2026,10570,Jersey Shore Wildcats 8U ADV
2026,10569,Jersey Shore Wildcats 8U BEG
2026,10571,Jersey Shore Wildcats 8U INT Orange
2026,9817,Jersey Shore Wildcats Red 16L Franklin
2026,9820,Jr Black Bears 10L
2026,9821,Jr Black Bears 10M Gill
2026,14949,Jr Black Bears 10M Hasselberger
2026,14965,Jr Black Bears 11AA
2026,14973,Jr Black Bears 12AA
2026,9822,Jr Black Bears 12GRY
2026,9823,Jr Black Bears 12L
2026,9824,Jr Black Bears 12M
2026,15048,Jr Black Bears 14AA
2026,15068,Jr Black Bears 14L
2026,9832,Jr Black Bears 16AA
2026,14985,Jr Flyers 12GRY Girls
2026,9836,Jr Flyers 12M
2026,939,Jr Flyers 8U BEG
2026,15488,Jr Flyers 8U INT
2026,14964,Lancaster Firebirds 11AA
2026,15026,Lancaster Firebirds 12L
2026,9842,Lancaster Firebirds 14GRY
2026,15086,Lancaster Firebirds 15AA
2026,9843,Lancaster Firebirds 18AA
2026,15504,Lancaster Firebirds 6U
2026,10573,Lancaster Firebirds 8U BEG
2026,15481,Lancaster Firebirds 8U INT Black
2026,15482,Lancaster Firebirds 8U INT Orange
2026,9846,Lehigh Valley Phantoms 10L
2026,9847,Lehigh Valley Phantoms 10M
2026,9849,Lehigh Valley Phantoms 12AA
2026,9853,Lehigh Valley Phantoms 14AA
2026,15056,Lehigh Valley Phantoms 14GRY
2026,9854,Lehigh Valley Phantoms 14L
2026,9856,Lehigh Valley Phantoms 15AA
2026,9857,Lehigh Valley Phantoms 16AA
2026,9858,Lehigh Valley Phantoms 16L
2026,9859,Lehigh Valley Phantoms 18AA
2026,10578,Lehigh Valley Phantoms 8U BEG
2026,10577,Lehigh Valley Phantoms 8U INT
2026,15483,Lehigh Valley Phantoms 8U INT Black
2026,9861,Lehigh Valley Steel 8AAA
2026,15149,LI Fisherman 8AAA
2026,9863,LI Monarchs 2018 8AAA
2026,9862,LI Monarchs 2019 8AAA
2026,9850,LV Phantoms 12L Swavely
2026,15004,LV Phantoms 12L Whitty
2026,9869,Mercer Arrows 8AAA
2026,9870,Mercer Chiefs 10AA
2026,14939,Mercer Chiefs 10L
2026,14950,Mercer Chiefs 10M
2026,9872,Mercer Chiefs 11AA
2026,14977,Mercer Chiefs 12AA
2026,15027,Mercer Chiefs 12L
2026,9874,Mercer Chiefs 12M
2026,15033,Mercer Chiefs 13AA
2026,9875,Mercer Chiefs 14AA
2026,15078,Mercer Chiefs 14M
2026,9881,Mercer Chiefs 16L
2026,15401,Mercer Chiefs 18AA
2026,9878,Mercer Chiefs 18GRY
2026,15514,Mercer Chiefs 6U
2026,10584,Mercer Chiefs 8U ADV
2026,10583,Mercer Chiefs 8U INT Red
2026,9879,Mercer Chiefs 9AA
2026,14923,Montclair Blues 10AA
2026,14941,Montclair Blues 10L Grey
2026,14940,Montclair Blues 10L White
2026,14966,Montclair Blues 11AA
2026,14979,Montclair Blues 12GRY Blue
2026,14980,Montclair Blues 12GRY Major
2026,15012,Montclair Blues 12M
2026,15034,Montclair Blues 13AA
