season_year,team_id,team_name
2026,15570,South Shore Kings 18U
2026,15535,Springfield Aces 10U
2026,15552,Springfield Aces 12U
2026,15548,Springfield Aces 14U
2026,10415,Springfield Pics 15U
2026,10416,Springfield Pics 16U
2026,15571,Springfield Pics 18U
2026,10417,Team Maryland 15U
2026,15536,Team Maryland 10U
2026,2980,Team Maryland 11U
2026,3001,Team Maryland 12U
2026,3036,Team Maryland 13U
2026,3059,Team Maryland 14U
2026,3112,Team Maryland 16U
2026,3133,Team Maryland 18U
2026,15557,TI Selects 16U
2026,10419,TI Selects 18U
2026,15549,Utica Jr Comets 14U
2026,10421,Utica Jr. Comets 10U
2026,10422,Utica Jr. Comets 11U
2026,10423,Utica Jr. Comets 12U
2026,15558,West Chester Wolves 16U
2026,15572,West Chester Wolves 18U Academy
2026,15573,West Chester Wolves 18U Prep
2026,15529,Wolfpack South 9U
2026,10440,Woodbridge Wolfpack 10U
2026,10441,Woodbridge Wolfpack 11U
2026,10442,Woodbridge Wolfpack 12U
2026,10443,Woodbridge Wolfpack 13U
2026,10444,Woodbridge Wolfpack 14U
2026,15559,Woodbridge Wolfpack 16U Elite
2026,10445,Woodbridge Wolfpack 16U Premier
2026,10446,Woodbridge Wolfpack 18U
2026,10439,Woodbridge Wolfpack 9U
2026,10448,Woodbridge Wolfpack Pure 15U Premier
