season_year,seasonid,leagueid,league_name,team_name,team_params
2020,27,234,10U Major 10,CT Jr. Whalers American,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2650
2020,27,234,10U Major 10,Long Island Gulls National,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2656
2020,27,234,10U Major 10,Long Island Royals American,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2652
2020,27,234,10U Major 10,Mercer Chiefs National,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2657
2020,27,234,10U Major 10,New Jersey Colonials National,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2658
2020,27,234,10U Major 10,New Jersey Jr. Titans American,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2651
2020,27,234,10U Major 10,New York Saints National,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2659
2020,27,234,10U Major 10,North Jersey Avalanche American,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2653
2020,27,234,10U Major 10,Philadelphia Junior Flyers American,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2654
2020,27,234,10U Major 10,Philadelphia Little Flyers American,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2655
2020,27,234,10U Major 10,Valley Forge Minutemen National,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2660
2020,27,234,10U Major 10,WB/Scranton Jr. Knights National,?seasonid=27&leaguetypeid=2&leagueid=234&teamid=2661
2020,27,233,10U Minor 11,CT Jr. Whalers,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2636
2020,27,233,10U Minor 11,Elite Hockey,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2637
2020,27,233,10U Minor 11,Lehigh Valley Phantoms,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2641
2020,27,233,10U Minor 11,Long Island Gulls,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2639
2020,27,233,10U Minor 11,Long Island Royals,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2640
2020,27,233,10U Minor 11,Mercer Chiefs,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2642
2020,27,233,10U Minor 11,New Jersey Colonials,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2643
2020,27,233,10U Minor 11,New Jersey Jr. Titans,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2638
2020,27,233,10U Minor 11,New York Saints,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2648
2020,27,233,10U Minor 11,North Jersey Avalanche,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2644
2020,27,233,10U Minor 11,Philadelphia Flyers Elite,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2645
2020,27,233,10U Minor 11,Philadelphia Junior Flyers,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2646
2020,27,233,10U Minor 11,Philadelphia Little Flyers,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2647
2020,27,233,10U Minor 11,Valley Forge Minutemen,?seasonid=27&leaguetypeid=2&leagueid=233&teamid=2649
2020,27,236,12U Major 08,CT Chiefs American,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2676
2020,27,236,12U Major 08,CT Jr. Whalers National,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2686
2020,27,236,12U Major 08,Elite Hockey American,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2677
2020,27,236,12U Major 08,Long Island Gulls National,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2687
2020,27,236,12U Major 08,Long Island Royals National,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2688
2020,27,236,12U Major 08,Mercer Chiefs American,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2678
2020,27,236,12U Major 08,New Jersey Colonials National,?seasonid=27&leaguetypeid=2&leagueid=236&teamid=2689
