season_year,seasonid,leagueid,league_name,team_name,team_params
2012,19,146,Bantam Major,CT Wolfpack,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1519
2012,19,146,Bantam Major,Long Island Gulls,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1521
2012,19,146,Bantam Major,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1522
2012,19,146,Bantam Major,New Jersey Devils Youth,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1523
2012,19,146,Bantam Major,New Jersey Jr. Titans,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1520
2012,19,146,Bantam Major,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1524
2012,19,146,Bantam Major,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1525
2012,19,146,Bantam Major,Philadelphia Little Flyers,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1526
2012,19,146,Bantam Major,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1527
2012,19,146,Bantam Major,Team Maryland,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1528
2012,19,146,Bantam Major,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1529
2012,19,146,Bantam Major,Washington Little Capitals,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1530
2012,19,146,Bantam Major,WB/Scranton Jr. Knights,?seasonid=19&leaguetypeid=2&leagueid=146&teamid=1531
2012,19,147,Bantam Minor,CT Wolfpack,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1532
2012,19,147,Bantam Minor,Long Island Royals,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1534
2012,19,147,Bantam Minor,Mercer Chiefs,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1535
2012,19,147,Bantam Minor,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1536
2012,19,147,Bantam Minor,New Jersey Devils Youth,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1537
2012,19,147,Bantam Minor,New Jersey Jr. Titans,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1533
2012,19,147,Bantam Minor,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1538
2012,19,147,Bantam Minor,New York Saints,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1542
2012,19,147,Bantam Minor,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1539
2012,19,147,Bantam Minor,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1540
2012,19,147,Bantam Minor,Philadelphia Little Flyers,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1541
2012,19,147,Bantam Minor,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1543
2012,19,147,Bantam Minor,Team Maryland,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1544
2012,19,147,Bantam Minor,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1545
2012,19,147,Bantam Minor,Washington Little Capitals,?seasonid=19&leaguetypeid=2&leagueid=147&teamid=1546
2012,19,145,Midget 16 - American,Long Island Royals,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1508
2012,19,145,Midget 16 - American,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1509
2012,19,145,Midget 16 - American,New Jersey Jr. Titans,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1507
2012,19,145,Midget 16 - American,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1510
2012,19,145,Midget 16 - American,New York Saints,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1514
2012,19,145,Midget 16 - American,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1511
2012,19,145,Midget 16 - American,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1512
2012,19,145,Midget 16 - American,Philadelphia Little Flyers,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1513
2012,19,145,Midget 16 - American,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1515
2012,19,145,Midget 16 - American,Team Maryland,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1516
2012,19,145,Midget 16 - American,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1517
2012,19,145,Midget 16 - American,WB/Scranton Jr. Knights,?seasonid=19&leaguetypeid=2&leagueid=145&teamid=1518
2012,19,144,Midget 16 - National,Long Island Gulls,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1495
2012,19,144,Midget 16 - National,Mercer Chiefs,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1496
2012,19,144,Midget 16 - National,New Jersey Devils Youth,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1497
2012,19,144,Midget 16 - National,New Jersey Jr. Titans,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1494
2012,19,144,Midget 16 - National,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1498
2012,19,144,Midget 16 - National,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1499
2012,19,144,Midget 16 - National,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1500
2012,19,144,Midget 16 - National,Philadelphia Little Flyers,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1502
2012,19,144,Midget 16 - National,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1503
2012,19,144,Midget 16 - National,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1504
2012,19,144,Midget 16 - National,Washington Jr. Nationals,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1493
2012,19,144,Midget 16 - National,Washington Little Capitals,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1505
2012,19,144,Midget 16 - National,WB/Scranton Jr. Knights,?seasonid=19&leaguetypeid=2&leagueid=144&teamid=1506
2012,19,143,Midget 18,New Jersey Jr. Titans,?seasonid=19&leaguetypeid=2&leagueid=143&teamid=1488
2012,19,143,Midget 18,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=143&teamid=1489
2012,19,143,Midget 18,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=143&teamid=1490
2012,19,143,Midget 18,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=143&teamid=1491
2012,19,143,Midget 18,Washington Little Capitals,?seasonid=19&leaguetypeid=2&leagueid=143&teamid=1492
2012,19,148,Pee Wee Major,Long Island Royals,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1547
2012,19,148,Pee Wee Major,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1548
2012,19,148,Pee Wee Major,New Jersey Devils Youth,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1549
2012,19,148,Pee Wee Major,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1550
2012,19,148,Pee Wee Major,New York Saints,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1554
2012,19,148,Pee Wee Major,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1551
2012,19,148,Pee Wee Major,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1552
2012,19,148,Pee Wee Major,Philadelphia Little Flyers,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1553
2012,19,148,Pee Wee Major,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1555
2012,19,148,Pee Wee Major,Team Maryland,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1556
2012,19,148,Pee Wee Major,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1557
2012,19,148,Pee Wee Major,Washington Little Capitals,?seasonid=19&leaguetypeid=2&leagueid=148&teamid=1558
2012,19,149,Pee Wee Minor,Long Island Gulls,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1561
2012,19,149,Pee Wee Minor,Long Island Royals,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1562
2012,19,149,Pee Wee Minor,Mercer Chiefs,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1563
2012,19,149,Pee Wee Minor,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1564
2012,19,149,Pee Wee Minor,New Jersey Devils Youth,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1565
2012,19,149,Pee Wee Minor,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1566
2012,19,149,Pee Wee Minor,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1567
2012,19,149,Pee Wee Minor,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1568
2012,19,149,Pee Wee Minor,Team Maryland,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1569
2012,19,149,Pee Wee Minor,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1570
2012,19,149,Pee Wee Minor,Washington Little Capitals,?seasonid=19&leaguetypeid=2&leagueid=149&teamid=1571
2012,19,150,Squirt Major,Long Island Gulls,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1572
2012,19,150,Squirt Major,Long Island Royals,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1573
2012,19,150,Squirt Major,Mercer Chiefs,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1574
2012,19,150,Squirt Major,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1575
2012,19,150,Squirt Major,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1576
2012,19,150,Squirt Major,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1577
2012,19,150,Squirt Major,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1578
2012,19,150,Squirt Major,Philadelphia Little Flyers,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1579
2012,19,150,Squirt Major,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=150&teamid=1580
2012,19,151,Squirt Minor,Long Island Gulls,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1581
2012,19,151,Squirt Minor,Long Island Royals,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1582
2012,19,151,Squirt Minor,Mercer Chiefs,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1583
2012,19,151,Squirt Minor,New Jersey Colonials,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1584
2012,19,151,Squirt Minor,New Jersey Devils Youth,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1585
2012,19,151,Squirt Minor,New Jersey Rockets,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1586
2012,19,151,Squirt Minor,North Jersey Avalanche,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1587
2012,19,151,Squirt Minor,Philadelphia Junior Flyers,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1588
2012,19,151,Squirt Minor,Team Comcast,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1589
2012,19,151,Squirt Minor,Valley Forge Minutemen,?seasonid=19&leaguetypeid=2&leagueid=151&teamid=1590
