season_year,seasonid,leagueid,league_name,team_name,team_params
2013,20,156,Bantam Major,CT Wolfpack,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1642
2013,20,156,Bantam Major,Long Island Royals,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1644
2013,20,156,Bantam Major,Mercer Chiefs,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1645
2013,20,156,Bantam Major,New Jersey Colonials,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1646
2013,20,156,Bantam Major,New Jersey Devils Youth,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1647
2013,20,156,Bantam Major,New Jersey Jr. Titans,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1643
2013,20,156,Bantam Major,New Jersey Rockets,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1648
2013,20,156,Bantam Major,New York Saints,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1652
2013,20,156,Bantam Major,North Jersey Avalanche,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1649
2013,20,156,Bantam Major,Philadelphia Junior Flyers,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1650
2013,20,156,Bantam Major,Philadelphia Little Flyers,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1651
2013,20,156,Bantam Major,Team Comcast,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1653
2013,20,156,Bantam Major,Team Maryland,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1654
2013,20,156,Bantam Major,Valley Forge Minutemen,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1655
2013,20,156,Bantam Major,Washington Little Capitals,?seasonid=20&leaguetypeid=2&leagueid=156&teamid=1656
2013,20,157,Bantam Minor,CT Wolfpack,?seasonid=20&leaguetypeid=2&leagueid=157&teamid=1657
2013,20,157,Bantam Minor,Long Island Gulls,?seasonid=20&leaguetypeid=2&leagueid=157&teamid=1658
2013,20,157,Bantam Minor,Long Island Royals,?seasonid=20&leaguetypeid=2&leagueid=157&teamid=1659
