season_year,seasonid,leagueid,league_name,team_name,team_params
2014,21,170,10U Squirt Major,CT RoughRiders,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1756
2014,21,170,10U Squirt Major,CT Wolfpack,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1755
2014,21,170,10U Squirt Major,Long Island Gulls,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1757
2014,21,170,10U Squirt Major,Long Island Royals,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1758
2014,21,170,10U Squirt Major,New Jersey Colonials,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1759
2014,21,170,10U Squirt Major,New Jersey Devils Youth,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1760
2014,21,170,10U Squirt Major,New Jersey Rockets,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1761
2014,21,170,10U Squirt Major,North Jersey Avalanche,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1762
2014,21,170,10U Squirt Major,Philadelphia Junior Flyers,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1763
2014,21,170,10U Squirt Major,Team Comcast,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1764
2014,21,170,10U Squirt Major,Valley Forge Minutemen,?seasonid=21&leaguetypeid=2&leagueid=170&teamid=1765
2014,21,171,10U Squirt Minor,CT RoughRiders,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1745
2014,21,171,10U Squirt Minor,Long Island Gulls,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1746
2014,21,171,10U Squirt Minor,Long Island Royals,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1747
2014,21,171,10U Squirt Minor,New Jersey Colonials,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1748
2014,21,171,10U Squirt Minor,New Jersey Rockets,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1749
2014,21,171,10U Squirt Minor,North Jersey Avalanche,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1750
2014,21,171,10U Squirt Minor,Philadelphia Junior Flyers,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1751
2014,21,171,10U Squirt Minor,Philadelphia Little Flyers,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1752
2014,21,171,10U Squirt Minor,Team Comcast,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1753
2014,21,171,10U Squirt Minor,Valley Forge Minutemen,?seasonid=21&leaguetypeid=2&leagueid=171&teamid=1754
2014,21,168,12U Pee Wee Major,CT RoughRiders,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1783
2014,21,168,12U Pee Wee Major,CT Wolfpack,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1782
2014,21,168,12U Pee Wee Major,Long Island Gulls,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1785
2014,21,168,12U Pee Wee Major,Long Island Royals,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1791
2014,21,168,12U Pee Wee Major,Mercer Chiefs,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1786
2014,21,168,12U Pee Wee Major,New Jersey Colonials,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1792
2014,21,168,12U Pee Wee Major,New Jersey Devils Youth,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1787
2014,21,168,12U Pee Wee Major,New Jersey Jr. Titans,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1784
2014,21,168,12U Pee Wee Major,North Jersey Avalanche,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1788
2014,21,168,12U Pee Wee Major,Philadelphia Junior Flyers,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1793
2014,21,168,12U Pee Wee Major,Philadelphia Little Flyers,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1789
2014,21,168,12U Pee Wee Major,Team Comcast,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1794
2014,21,168,12U Pee Wee Major,Team Maryland,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1790
2014,21,168,12U Pee Wee Major,Washington Little Capitals,?seasonid=21&leaguetypeid=2&leagueid=168&teamid=1795
2014,21,169,12U Pee Wee Minor,CT Wolfpack,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1771
2014,21,169,12U Pee Wee Minor,Long Island Gulls,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1772
2014,21,169,12U Pee Wee Minor,Long Island Royals,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1767
2014,21,169,12U Pee Wee Minor,Mercer Chiefs,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1768
2014,21,169,12U Pee Wee Minor,New Jersey Colonials,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1773
2014,21,169,12U Pee Wee Minor,New Jersey Devils Youth,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1774
2014,21,169,12U Pee Wee Minor,New Jersey Jr. Titans,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1766
2014,21,169,12U Pee Wee Minor,New Jersey Rockets,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1775
2014,21,169,12U Pee Wee Minor,New York Saints,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1770
2014,21,169,12U Pee Wee Minor,North Jersey Avalanche,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1776
2014,21,169,12U Pee Wee Minor,Philadelphia Junior Flyers,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1777
2014,21,169,12U Pee Wee Minor,Philadelphia Little Flyers,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1769
2014,21,169,12U Pee Wee Minor,Team Comcast,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1778
2014,21,169,12U Pee Wee Minor,Team Maryland,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1779
2014,21,169,12U Pee Wee Minor,Valley Forge Minutemen,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1780
2014,21,169,12U Pee Wee Minor,Washington Little Capitals,?seasonid=21&leaguetypeid=2&leagueid=169&teamid=1781
2014,21,166,14U Bantam Major,CT RoughRiders,?seasonid=21&leaguetypeid=2&leagueid=166&teamid=1814
2014,21,166,14U Bantam Major,CT Wolfpack,?seasonid=21&leaguetypeid=2&leagueid=166&teamid=1820
2014,21,166,14U Bantam Major,Long Island Royals,?seasonid=21&leaguetypeid=2&leagueid=166&teamid=1821
