TEAM_ID,TEAM_NAME,GAME_ID,GAME_DATE,GAME_TIME,LOCATION,HOME_ID,HOME_TEAM,AWAY_ID,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,SEASON_ID,LEAGUE_ID,LEAGUE_NAME,GAME_STATUS,RESULT_STRING,SCORESHEET_LINK,SCORESHEET_PDF_PATH,SCRAPED_AT
1053,CT Chiefs 12U,49954,2025-10-19,11:40:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10350,NYC Hockey Club 12U,2,6,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49954,data/scoresheet/2025/49954.pdf,2026-04-03T02:09:29.263Z
1053,CT Chiefs 12U,49955,2025-10-19,14:35:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10350,NYC Hockey Club 12U,3,4,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49955,data/scoresheet/2025/49955.pdf,2026-04-03T02:09:29.892Z
1053,CT Chiefs 12U,49956,2025-10-25,11:20:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10295,Jersey Shore Lightning 12U,3,2,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49956,data/scoresheet/2025/49956.pdf,2026-04-03T02:09:30.056Z
1053,CT Chiefs 12U,49957,2025-10-25,14:15:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10295,Jersey Shore Lightning 12U,2,3,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49957,data/scoresheet/2025/49957.pdf,2026-04-03T02:09:30.173Z
1053,CT Chiefs 12U,51611,2025-11-02,11:00:00,Brewster Ice Arena 1998,10431,Westchester Express 12U,1053,CT Chiefs 12U,6,5,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=51611,data/scoresheet/2025/51611.pdf,2026-04-03T02:09:30.363Z
1053,CT Chiefs 12U,51612,2025-11-02,14:00:00,Brewster Ice Arena 1998,10431,Westchester Express 12U,1053,CT Chiefs 12U,7,2,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=51612,data/scoresheet/2025/51612.pdf,2026-04-03T02:09:30.570Z
1053,CT Chiefs 12U,49958,2025-11-08,12:20:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10378,Red Bank Generals 12U,6,5,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49958,data/scoresheet/2025/49958.pdf,2026-04-03T02:09:31.302Z
1053,CT Chiefs 12U,49959,2025-11-08,15:10:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10378,Red Bank Generals 12U,1,7,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49959,data/scoresheet/2025/49959.pdf,2026-04-03T02:09:31.888Z
1053,CT Chiefs 12U,49960,2025-11-15,11:10:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10282,Flyers Elite 12U,6,1,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49960,data/scoresheet/2025/49960.pdf,2026-04-03T02:09:32.118Z
1053,CT Chiefs 12U,49961,2025-11-15,14:05:00,Newington Ice Arena Blue Rink,1053,CT Chiefs 12U,10282,Flyers Elite 12U,4,3,131,5,THF,CLOSED,Final/OT,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49961,data/scoresheet/2025/49961.pdf,2026-04-03T02:09:32.279Z
1053,CT Chiefs 12U,49336,2025-11-22,10:30:00,Adirondack Bank Center,10423,Utica Jr. Comets 12U,1053,CT Chiefs 12U,9,0,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49336,data/scoresheet/2025/49336.pdf,2026-04-03T02:09:32.583Z
1053,CT Chiefs 12U,49337,2025-11-22,13:30:00,Adirondack Bank Center,10423,Utica Jr. Comets 12U,1053,CT Chiefs 12U,12,1,131,5,THF,CLOSED,Final,https://stats.blackbear.timetoscore.com//generate-scorecard.php?game_id=49337,data/scoresheet/2025/49337.pdf,2026-04-03T02:09:32.779Z
