team_id,team_name
9676,Allegheny Badgers 12AA
9677,Allegheny Badgers 13AA
9678,Allegheny Badgers 16AA
9679,Allegheny Badgers 18AA
9680,Applecore/Westchester Express 12AA
9681,Applecore/Westchester Express 14L
9682,Arizona Bobcats 18AA - 1
9683,Ashburn Rebels 8AAA
9684,Ashburn Xtreme #1 16AA
9685,Ashburn Xtreme #2 16AA
9686,Ashburn Xtreme 10AA
9687,Ashburn Xtreme 10GRY
9688,Ashburn Xtreme 11AA
9689,Ashburn Xtreme 12AA
9690,Ashburn Xtreme 12GRY
9691,Ashburn Xtreme 13AA
9692,Ashburn Xtreme 14AA
9693,Ashburn Xtreme 14GRY
9694,Ashburn Xtreme 16L
9695,Ashburn Xtreme 18AA
9696,Ashburn Xtreme 18GRY
9697,Ashburn Xtreme 9AA
9698,Arizona Bobcats  16AA Gough
9701,Berserkers 8AAA 
9702,Bridge 2017 8AAA 
9703,Bridge 2018 8AAA 
9704,CT Chiefs 12GRY
9705,CT Chiefs 9AA
9707,CT Hurricanes 8AAA
9708,Darien 10AA 
9709,Darien 11AA 
9710,Darien 12AA 
9711,Darien 13AA 
9712,Darien 14AA 
9713,Darien 9AA 
9714,Delaware Ducks 10GRY
9715,Delaware Ducks 10L
9716,Delaware Ducks 10M
9717,Delaware Ducks 11AA
9718,Delaware Ducks 12AA
9719,Delaware Ducks 12GRY
9720,Delaware Ducks 12M
9721,Delaware Ducks 13AA
9722,Delaware Ducks 14GRY
9723,Frederick Freeze 14L
9724,Frederick Freeze 16AA
9725,Frederick Freeze 16GRY
9726,Frederick Freeze 14GRY
9727,Frederick Freeze 10L
9728,Frederick Freeze 10M
9729,Frederick Freeze 12AA
9730,Frederick Freeze 12GRY
9731,Greenwich Skating Club 13AA
9732,Grundy Senators 10M
9733,Grundy Senators 12L
9734,Grundy Senators 14GRY
9735,Grundy Senators 14M
9736,Grundy Senators 16L
9737,Hartford Jr Wolfpack 10L
9738,Hartford Jr Wolfpack 12AA
9739,Hartford Jr Wolfpack 13AA Bronner
9740,Hartford Jr Wolfpack 13AA George
9741,Hartford Jr Wolfpack 9AA
9742,Haverford Hawks 10AA
9743,Haverford Hawks 10L
9744,Haverford Hawks 10M
9745,Haverford Hawks 12AA
9746,Haverford Hawks 12L
9747,Haverford Hawks 12M
9748,Haverford Hawks 13AA
9749,Haverford Hawks 14AA
9750,Haverford Hawks 14L
9751,Haverford Hawks 15AA
9752,Haverford Hawks 16GRY
9753,Haverford Hawks 16L
9754,Haverford Hawks 18AA
9755,Haverford Hawks 18GRY
9756,Hollydell Hurricanes 10AA
9757,Hollydell Hurricanes 10GRY
9758,Hollydell Hurricanes 10M
9759,Hollydell Hurricanes 11AA
9760,Hollydell Hurricanes 12AA
9761,Hollydell Hurricanes 12GRY
9762,Hollydell Hurricanes 12L
9763,Hollydell Hurricanes 12M
9764,Hollydell Hurricanes 13AA
9765,Hollydell Hurricanes 14AA
9766,Hollydell Hurricanes 14GRY
9767,Hollydell Hurricanes 14L
9768,Hollydell Hurricanes 15AA
9769,Hollydell Hurricanes 16AA
9770,Hollydell Hurricanes 16GRY
9771,Hollydell Hurricanes 9AA
9772,Hollydell Hurricanes McNulty 18AA
9773,Hollydell Hurricanes Sander 18AA
9774,Igloo Jaguars 10AA
9775,Igloo Jaguars 10M
9776,Igloo Jaguars 12AA
9777,Igloo Jaguars 12GRY
9778,Igloo Jaguars 12L
9779,Igloo Jaguars 14M
9780,Igloo Jaguars 15AA
9781,Igloo Jaguars 16AA
9782,Igloo Jaguars 18AA
9783,Igloo Jaguars 9AA
9784,Igloo Jaguars Black 13AA
9785,Igloo Jaguars Black 18GRY
9786,Igloo Jaguars Green 13AA
9787,Igloo Jaguars Green 18GRY
9788,Jersey Colts 10AA
9789,Jersey Colts 10L
9790,Jersey Colts 10M
9791,Jersey Colts 12AA
9792,Jersey Colts 12L
9793,Jersey Colts 12M
9794,Jersey Colts 13AA
9795,Jersey Colts 14AA
9796,Jersey Colts 14GRY
9797,Jersey Colts 14L
9798,Jersey Colts 16AA
9799,Jersey Colts 16L
9800,Jersey Colts 18AA
9801,Jersey Colts 18GRY
9802,Jersey Colts 9AA
9803,Jersey Shore Americans 8AAA
9804,Jersey Shore Wildcats 10L
9805,Jersey Shore Wildcats 10M
9806,Jersey Shore Wildcats 11AA
9807,Jersey Shore Wildcats 12GRY
9808,Jersey Shore Wildcats 12M
9809,Jersey Shore Wildcats 13AA
9810,Jersey Shore Wildcats 14GRY
9811,Jersey Shore Wildcats 14L
9812,Jersey Shore Wildcats 14M
9813,Jersey Shore Wildcats 15AA
9814,Jersey Shore Wildcats 16GRY
9815,Jersey Shore Wildcats 18AA
9816,Jersey Shore Wildcats 18GRY
9817,Jersey Shore Wildcats Red 16L
9818,Jersey Shore Wildcats White 16L
9819,Jr Black Bears 10AA 
9820,Jr Black Bears 10L 
9821,Jr Black Bears 10M 
9822,Jr Black Bears 12GRY 
9823,Jr Black Bears 12L 
9824,Jr Black Bears 12M 
9825,Jr Black Bears 13AA 
9826,Jr Black Bears 14GRY 
9827,Jr Black Bears 14M 
9828,Jr Black Bears 16GRY 
9829,Jr Black Bears 16L 
9830,Jr Black Bears 18AA 
9831,Jr Black Bears Haley 16AA 
9832,Jr Black Bears Pekins 16AA 
9833,Jr Flyers - Cramer 10L 
9834,Jr Flyers - Dunn 12AA 
9835,Jr Flyers Girls 12L 
9836,Jr Flyers 12M 
9837,Hollydell Jr Rebels Major 8AAA
9838,Hollydell Jr Rebels Minor 8AAA
9839,Lancaster Firebirds 10AA
9840,Lancaster Firebirds 10L
9841,Lancaster Firebirds 12GRY
9842,Lancaster Firebirds 14GRY
9843,Lancaster Firebirds 18AA
9844,Lancaster Firebirds 18GRY
9845,Lehigh Valley Phantoms 10AA
9846,Lehigh Valley Phantoms 10L
9847,Lehigh Valley Phantoms 10M
9848,Lehigh Valley Phantoms 11AA
9849,Lehigh Valley Phantoms 12AA
9850,Lehigh Valley Phantoms 12L
9851,Lehigh Valley Phantoms 12M
9852,Lehigh Valley Phantoms 13AA
9853,Lehigh Valley Phantoms 14AA
9854,Lehigh Valley Phantoms 14L
9855,Lehigh Valley Phantoms 14M
9856,Lehigh Valley Phantoms 15AA
9857,Lehigh Valley Phantoms 16AA
9858,Lehigh Valley Phantoms 16L
9859,Lehigh Valley Phantoms 18AA
9860,Lehigh Valley Phantoms 18GRY
9861,Lehigh Valley Steel 8AAA
9862,LI Monarchs 2017 8AAA 
9863,LI Monarchs 2018 8AAA 
9864,Littleton Hawks 12AA
9865,Littleton Hawks 14AA
9866,Littleton Hawks 15AA
9867,Littleton Hawks 16AA
9868,Long Island Spitfires 8AAA
9869,Mercer Arrows 8AAA
9870,Mercer Chiefs 10AA
9871,Mercer Chiefs 10L
9872,Mercer Chiefs 11AA
9873,Mercer Chiefs 12GRY
9874,Mercer Chiefs 12M
9875,Mercer Chiefs 14AA
9876,Mercer Chiefs 14L
9877,Mercer Chiefs 16AA
9878,Mercer Chiefs 18GRY
9879,Mercer Chiefs 9AA
9880,Mercer Chiefs Black 16G
9881,Mercer Chiefs Red 16L
9882,MYHA 10AA 
9883,MYHA 10GRY 
9884,MYHA 10M 
9885,MYHA 12AA 
9886,MYHA 12GRY 
9887,MYHA 12L Blue 
9888,MYHA 12L Gold 
9889,MYHA 12M Blue 
9890,MYHA 12M Gold 
9891,MYHA 13AA 
9892,MYHA 14AA 
9893,MYHA 14GRY 
9894,MYHA 15AA 
9895,MYHA 16AA 
9896,MYHA 9AA 
9897,MYHA Blue 11AA 
9898,MYHA Blue 10L 
9899,MYHA Blue 14L 
9900,MYHA Blue 14M 
9901,MYHA Blue 16GRY 
9902,MYHA Blue 18AA 
9903,MYHA Gold 11AA 
9904,MYHA Gold 10L 
9905,MYHA Gold 14L 
9906,MYHA Gold 14M 
9907,MYHA Gold 16GRY 
9908,MYHA Gold 18AA 
9909,New Canaan WC 10AA 
9910,New Canaan WC 12AA 
9911,New Canaan WC 14AA 
9912,NJ Bandits 10GRY
9913,NJ Bandits 10M Lofberg
9914,NJ Bandits 10M Trotter
458,NJ Bandits 11AA
5015,NJ Bandits 12AA
9915,NJ Bandits 12L DeVries
9916,NJ Bandits 12L Poulsen
580,NJ Bandits 13AA
5451,NJ Bandits 14AA
9917,NJ Bandits 14GRY
9918,NJ Bandits 14L
708,NJ Bandits 15AA
9919,NJ Bandits 16GRY
9920,NJ Bandits Black 18AA
9921,NJ Bandits Red 18AA
9922,NJ Jets 10L
9923,NJ Jets 10M
9924,NJ Jets 11AA
9925,NJ Jets 12AA
9926,NJ Jets 12M
9927,NJ Jets 13AA
9928,NJ Jets 14AA
9929,NJ Jets 14L
9930,NJ Jets 16L
9931,NJ Jets 18GRY
9932,NJ Jets 9AA
9933,NJ Jets Black 15AA
9934,NJ Jets Black 16AA
9935,NJ Jets Jones 18AA
9936,NJ Jets Navy 15AA
9937,NJ Jets Navy 18AA
9938,North Jersey Avalanche  12L
9939,North Jersey Avalanche 10AA
9940,North Jersey Avalanche 10L
9941,North Jersey Avalanche 11AA
9942,North Jersey Avalanche 12AA
9943,North Jersey Avalanche 13AA
9944,North Jersey Avalanche 14AA
9945,North Jersey Avalanche 14GRY
9946,North Jersey Avalanche 14L
9947,North Jersey Avalanche 15AA
9948,North Jersey Avalanche 16AA
9949,North Jersey Avalanche 16GRY Gold
9950,North Jersey Avalanche 18AA
9951,North Jersey Blizzard Blue 8AAA
9952,North Jersey Blizzard White 8AAA
9953,Northern Cyclones 16AA
9954,Northern Cyclones 18AA
9955,NY Arrows 10GRY
9956,NY Arrows 11AA
9957,NY Arrows 12AA
9958,NY Arrows 13AA
9959,NY Arrows 9AA
9960,NY Dynamo 10AA
9961,NY Dynamo 11AA
9962,NY Dynamo 12AA
9963,NY Dynamo 13AA
9964,NY Dynamo 14AA
9965,Outlaws 8AAA 
9966,PAL Blue Knights (Pring) 18AA
9967,PAL Blue Knights 10AA
9968,PAL Blue Knights 10M
9969,PAL Blue Knights 11AA
9970,PAL Blue Knights 12AA
9971,PAL Blue Knights 14AA
9972,PAL Blue Knights 14GRY
9973,PAL Blue Knights 15AA
9974,PAL Blue Knights 16AA
9975,PAL Sound Tigers 10L
9976,PAL Sound Tigers 10M
9977,PAL Sound Tigers 12GRY
9978,PAL Sound Tigers 12L
9979,PAL Sound Tigers 14AA
9980,PAL Sound Tigers 16L
9981,PAL Sound Tigers 9AA
9982,PBK 10GRY 
9983,PBK 10M 
5316,PBK 11AA
5342,PBK 12AA
9984,PBK 12L 
5424,PBK 13AA
5832,PBK 14AA
9985,PBK 14L 
5538,PBK 15AA
9986,PBK 16AA 
9987,PBK 18GRY 
9988,Pennsauken Pilots 8AAA
9989,PHA Icemen 10AA
9990,PHA Icemen 11AA
9991,PHA Icemen 12AA
9992,PHA Icemen 13AA
9993,PHA Icemen 14AA
9994,PHA Icemen 9AA
9995,Philadelphia Blazers 10L
9996,Philadelphia Blazers 10M
9997,Philadelphia Blazers 11AA
9998,Philadelphia Blazers 12AA
9999,Philadelphia Blazers 12L
10000,Philadelphia Blazers 12M
10001,Philadelphia Blazers 13AA
10002,Philadelphia Blazers 14AA
10003,Philadelphia Blazers 14L
10004,Philadelphia Blazers 15AA
10005,Philadelphia Blazers 16AA
10006,Philadelphia Blazers 16GRY
10007,Philadelphia Blazers 18AA
10008,Philadelphia Blazers 18GRY
10009,Philadelphia Blazers 9AA
10010,Philadelphia Resistance 8AAA
10011,Piney Pirates 8AAA 
10013,Ramapo Saints 10AA
10014,Ramapo Saints 10GRY
10015,Ramapo Saints 10L
10016,Ramapo Saints 10M Flament
10017,Ramapo Saints 10M Jennings
10018,Ramapo Saints 11AA
10019,Ramapo Saints 12AA
10020,Ramapo Saints 12GRY
10021,Ramapo Saints 12L
10022,Ramapo Saints 12M
10023,Ramapo Saints 13AA
10024,Ramapo Saints 14AA
10025,Ramapo Saints 14L
10026,Ramapo Saints 15AA
10027,Ramapo Saints 16AA
10028,Ramapo Saints 16L
10029,Ramapo Saints 18AA
10030,Ramapo Saints 18GRY
10031,Red Bank Generals 10GRY
10032,Red Bank Generals 10M
10033,Red Bank Generals 11AA
10034,Red Bank Generals 12AA
10035,Red Bank Generals 12L
10036,Red Bank Generals 13AA
10037,Red Bank Generals 14AA
10038,Red Bank Generals 14L
10039,Red Bank Generals 15AA
