team_id,team_name
11926,Queen City Royals 10AA
11927,Queen City Royals 12AAA
11931,Queen City Royals 18AAA
12091,PHA Icemen 18U
12093,Chicago Phantoms 18U
12095,Sylvania North Stars 15U
12107,Chicago Phantoms 10U
12108,Chicago Phantoms 12U
12273,Carolina Jr Hurricanes 10U
12738,West Seneca Wings 10U
12739,Seacoast Spartans 10U
12742,Yale Jr. Bulldogs 2013 AAA
12744,Northern Cyclones Academy 12U
12745,Top Gun Platinum 12U
12746,Seacoast Spartans 12U
12869,Colorado Thunderbirds 13U
13007,Pittsburgh Vengeance 12u
13012,White 
13013,Blue 
13578,Ohio Prospects 10u
13579,Ohio Prospects 12u
13580,Biggby Coffee 11u
13581,Biggby Coffee 10u
13583,Carshield 10U 
13584,Ashburn Xtreme 10U
13902,Mercer 9u Silver
13905,Westchester Express
13906,Mercer Chiefs AA
