season_year,seasonid,leagueid,league_name,team_name,team_params
2025,33,279,10U Major 15,Elite Hockey,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3279
2025,33,279,10U Major 15,Lehigh Valley Phantoms,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3280
2025,33,279,10U Major 15,Long Island Gulls,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3281
2025,33,279,10U Major 15,Long Island Royals,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3282
2025,33,279,10U Major 15,New Jersey Colonials,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3283
2025,33,279,10U Major 15,North Jersey Avalanche,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3284
2025,33,279,10U Major 15,Philadelphia Hockey Club,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3285
2025,33,279,10U Major 15,Philadelphia Junior Flyers,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3286
2025,33,279,10U Major 15,Philadelphia Little Flyers,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3287
2025,33,279,10U Major 15,Valley Forge Minutemen,?seasonid=33&leaguetypeid=2&leagueid=279&teamid=3288
2025,33,278,10U Minor 16,Lehigh Valley Phantoms,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3271
2025,33,278,10U Minor 16,Long Island Gulls,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3272
2025,33,278,10U Minor 16,Long Island Royals,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3273
2025,33,278,10U Minor 16,New Jersey Colonials,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3274
2025,33,278,10U Minor 16,North Jersey Avalanche,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3275
2025,33,278,10U Minor 16,Philadelphia Hockey Club,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3276
2025,33,278,10U Minor 16,Philadelphia Junior Flyers,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3277
2025,33,278,10U Minor 16,Philadelphia Little Flyers,?seasonid=33&leaguetypeid=2&leagueid=278&teamid=3278
2025,33,281,12U Major 13,Long Island Gulls,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3301
2025,33,281,12U Major 13,Long Island Royals,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3302
2025,33,281,12U Major 13,New Jersey Colonials,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3303
2025,33,281,12U Major 13,New Jersey Jr. Titans,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3304
2025,33,281,12U Major 13,North Jersey Avalanche,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3305
2025,33,281,12U Major 13,Philadelphia Hockey Club,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3306
2025,33,281,12U Major 13,Philadelphia Junior Flyers,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3307
2025,33,281,12U Major 13,Philadelphia Little Flyers,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3308
2025,33,281,12U Major 13,Valley Forge Minutemen,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3309
2025,33,281,12U Major 13,Washington Little Capitals,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3310
2025,33,281,12U Major 13,WB/Scranton Jr. Knights,?seasonid=33&leaguetypeid=2&leagueid=281&teamid=3311
2025,33,280,12U Minor 14,Danbury Hat Tricks,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3289
2025,33,280,12U Minor 14,Lehigh Valley Phantoms,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3290
2025,33,280,12U Minor 14,Long Island Gulls,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3291
2025,33,280,12U Minor 14,Long Island Royals,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3292
2025,33,280,12U Minor 14,New Jersey Colonials,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3293
2025,33,280,12U Minor 14,North Jersey Avalanche,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3294
2025,33,280,12U Minor 14,Philadelphia Hockey Club,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3296
2025,33,280,12U Minor 14,Philadelphia Junior Flyers,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3297
2025,33,280,12U Minor 14,Philadelphia Little Flyers,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3298
2025,33,280,12U Minor 14,Valley Forge Minutemen,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3299
2025,33,280,12U Minor 14,Washington Little Capitals,?seasonid=33&leaguetypeid=2&leagueid=280&teamid=3300
