season_year,seasonid,leagueid,league_name,team_name,team_params
2016,23,188,10U Squirt Major 06,CT RoughRiders,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2060
2016,23,188,10U Squirt Major 06,Lehigh Valley Phantoms,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2064
2016,23,188,10U Squirt Major 06,Long Island Gulls,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2062
2016,23,188,10U Squirt Major 06,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2063
2016,23,188,10U Squirt Major 06,New Jersey Colonials,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2065
2016,23,188,10U Squirt Major 06,New Jersey Jr. Titans,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2061
2016,23,188,10U Squirt Major 06,New York Saints,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2068
2016,23,188,10U Squirt Major 06,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2066
2016,23,188,10U Squirt Major 06,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2067
2016,23,188,10U Squirt Major 06,Valley Forge Minutemen,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2070
2016,23,188,10U Squirt Major 06,Virtua Hockey,?seasonid=23&leaguetypeid=2&leagueid=188&teamid=2069
2016,23,187,10U Squirt Minor 07,CT RoughRiders,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2049
2016,23,187,10U Squirt Minor 07,Lehigh Valley Phantoms,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2052
2016,23,187,10U Squirt Minor 07,Long Island Gulls,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2050
2016,23,187,10U Squirt Minor 07,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2051
2016,23,187,10U Squirt Minor 07,Mercer Chiefs,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2053
2016,23,187,10U Squirt Minor 07,New Jersey Colonials,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2054
2016,23,187,10U Squirt Minor 07,New York Saints,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2057
2016,23,187,10U Squirt Minor 07,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2055
2016,23,187,10U Squirt Minor 07,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2056
2016,23,187,10U Squirt Minor 07,Valley Forge Minutemen,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2059
2016,23,187,10U Squirt Minor 07,Virtua Hockey,?seasonid=23&leaguetypeid=2&leagueid=187&teamid=2058
2016,23,190,12U Pee Wee Major 04,CT RoughRiders,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2086
2016,23,190,12U Pee Wee Major 04,Long Island Gulls,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2088
2016,23,190,12U Pee Wee Major 04,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2089
2016,23,190,12U Pee Wee Major 04,New Jersey Colonials,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2090
2016,23,190,12U Pee Wee Major 04,New Jersey Devils Youth,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2091
2016,23,190,12U Pee Wee Major 04,New Jersey Jr. Titans,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2087
2016,23,190,12U Pee Wee Major 04,New York Saints,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2095
2016,23,190,12U Pee Wee Major 04,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2092
2016,23,190,12U Pee Wee Major 04,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2093
2016,23,190,12U Pee Wee Major 04,Philadelphia Little Flyers,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2094
2016,23,190,12U Pee Wee Major 04,Team Maryland,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2097
2016,23,190,12U Pee Wee Major 04,Valley Forge Minutemen,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2098
2016,23,190,12U Pee Wee Major 04,Virtua Hockey,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2096
2016,23,190,12U Pee Wee Major 04,Washington Little Capitals,?seasonid=23&leaguetypeid=2&leagueid=190&teamid=2099
2016,23,189,12U Pee Wee Minor 05,CT RoughRiders,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2071
2016,23,189,12U Pee Wee Minor 05,Long Island Gulls,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2078
2016,23,189,12U Pee Wee Minor 05,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2079
2016,23,189,12U Pee Wee Minor 05,Mercer Chiefs,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2073
2016,23,189,12U Pee Wee Minor 05,New Jersey Colonials,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2080
2016,23,189,12U Pee Wee Minor 05,New Jersey Devils Youth,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2074
2016,23,189,12U Pee Wee Minor 05,New Jersey Jr. Titans,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2072
2016,23,189,12U Pee Wee Minor 05,New York Saints,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2076
2016,23,189,12U Pee Wee Minor 05,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2081
2016,23,189,12U Pee Wee Minor 05,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2075
2016,23,189,12U Pee Wee Minor 05,Philadelphia Little Flyers,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2082
2016,23,189,12U Pee Wee Minor 05,Team Maryland,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2083
2016,23,189,12U Pee Wee Minor 05,Valley Forge Minutemen,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2084
2016,23,189,12U Pee Wee Minor 05,Virtua Hockey,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2077
2016,23,189,12U Pee Wee Minor 05,Washington Little Capitals,?seasonid=23&leaguetypeid=2&leagueid=189&teamid=2085
2016,23,192,14U Bantam Major 02,CT RoughRiders,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2115
2016,23,192,14U Bantam Major 02,Elite Hockey,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2121
2016,23,192,14U Bantam Major 02,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2116
2016,23,192,14U Bantam Major 02,Mercer Chiefs,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2123
2016,23,192,14U Bantam Major 02,New Jersey Colonials,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2124
2016,23,192,14U Bantam Major 02,New Jersey Devils Youth,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2125
2016,23,192,14U Bantam Major 02,New Jersey Jr. Titans,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2122
2016,23,192,14U Bantam Major 02,New York Saints,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2118
2016,23,192,14U Bantam Major 02,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2126
2016,23,192,14U Bantam Major 02,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2127
2016,23,192,14U Bantam Major 02,Philadelphia Little Flyers,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2117
2016,23,192,14U Bantam Major 02,Team Maryland,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2119
2016,23,192,14U Bantam Major 02,Valley Forge Minutemen,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2120
2016,23,192,14U Bantam Major 02,Virtua Hockey,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2128
2016,23,192,14U Bantam Major 02,Washington Little Capitals,?seasonid=23&leaguetypeid=2&leagueid=192&teamid=2129
2016,23,191,14U Bantam Minor 03,CT RoughRiders,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2100
2016,23,191,14U Bantam Minor 03,Elite Hockey,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2105
2016,23,191,14U Bantam Minor 03,Long Island Gulls,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2106
2016,23,191,14U Bantam Minor 03,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2101
2016,23,191,14U Bantam Minor 03,Mercer Chiefs,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2102
2016,23,191,14U Bantam Minor 03,New Jersey Colonials,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2107
2016,23,191,14U Bantam Minor 03,New Jersey Devils Youth,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2108
2016,23,191,14U Bantam Minor 03,New York Saints,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2104
2016,23,191,14U Bantam Minor 03,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2109
2016,23,191,14U Bantam Minor 03,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2110
2016,23,191,14U Bantam Minor 03,Philadelphia Little Flyers,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2103
2016,23,191,14U Bantam Minor 03,Team Maryland,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2112
2016,23,191,14U Bantam Minor 03,Valley Forge Minutemen,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2113
2016,23,191,14U Bantam Minor 03,Virtua Hockey,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2111
2016,23,191,14U Bantam Minor 03,Washington Little Capitals,?seasonid=23&leaguetypeid=2&leagueid=191&teamid=2114
2016,23,193,15 Pure 01,Long Island Gulls,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2131
2016,23,193,15 Pure 01,Long Island Royals,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2132
2016,23,193,15 Pure 01,New Jersey Devils Youth,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2133
2016,23,193,15 Pure 01,New Jersey Jr. Titans,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2130
2016,23,193,15 Pure 01,North Jersey Avalanche,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2134
2016,23,193,15 Pure 01,Philadelphia Junior Flyers,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2135
2016,23,193,15 Pure 01,Team Maryland,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2136
2016,23,193,15 Pure 01,Washington Little Capitals,?seasonid=23&leaguetypeid=2&leagueid=193&teamid=2137
2016,23,194,16U - 00/01,CT RoughRiders Elite,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2147
2016,23,194,16U - 00/01,Elite Hockey Premier,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2154
2016,23,194,16U - 00/01,Long Island Royals Elite,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2148
2016,23,194,16U - 00/01,Mercer Chiefs American,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2139
2016,23,194,16U - 00/01,Mercer Chiefs Elite,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2149
2016,23,194,16U - 00/01,New Jersey Colonials American,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2140
2016,23,194,16U - 00/01,New Jersey Jr. Titans American,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2138
2016,23,194,16U - 00/01,New Jersey Jr. Titans Premier,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2155
2016,23,194,16U - 00/01,New York Saints American,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2144
2016,23,194,16U - 00/01,North Jersey Avalanche American,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2141
2016,23,194,16U - 00/01,North Jersey Avalanche Premier,?seasonid=23&leaguetypeid=2&leagueid=194&teamid=2156
