season_year,seasonid,leagueid,league_name,team_name,team_params
2019,26,222,10U Major 09,CT Jr. Whalers,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2510
2019,26,222,10U Major 09,Long Island Gulls,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2511
2019,26,222,10U Major 09,Long Island Royals,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2512
2019,26,222,10U Major 09,Mercer Chiefs,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2513
2019,26,222,10U Major 09,North Jersey Avalanche,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2514
2019,26,222,10U Major 09,Philadelphia Junior Flyers,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2515
2019,26,222,10U Major 09,Valley Forge Minutemen,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2516
2019,26,222,10U Major 09,WB/Scranton Jr. Knights,?seasonid=26&leaguetypeid=2&leagueid=222&teamid=2517
2019,26,221,10U Minor 10,CT Jr. Whalers,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2498
2019,26,221,10U Minor 10,Long Island Gulls,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2500
2019,26,221,10U Minor 10,Long Island Royals,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2501
2019,26,221,10U Minor 10,Mercer Chiefs,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2502
2019,26,221,10U Minor 10,New Jersey Colonials,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2503
2019,26,221,10U Minor 10,New Jersey Jr. Titans,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2499
2019,26,221,10U Minor 10,New York Saints,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2507
2019,26,221,10U Minor 10,North Jersey Avalanche,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2504
2019,26,221,10U Minor 10,Philadelphia Junior Flyers,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2505
2019,26,221,10U Minor 10,Philadelphia Little Flyers,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2506
2019,26,221,10U Minor 10,Valley Forge Minutemen,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2508
2019,26,221,10U Minor 10,WB/Scranton Jr. Knights,?seasonid=26&leaguetypeid=2&leagueid=221&teamid=2509
2019,26,224,12U Major 07,CT Chiefs American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2534
2019,26,224,12U Major 07,CT Jr. Whalers National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2541
2019,26,224,12U Major 07,Long Island Gulls National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2542
2019,26,224,12U Major 07,Long Island Royals American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2535
2019,26,224,12U Major 07,Mercer Chiefs National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2543
2019,26,224,12U Major 07,New Jersey Colonials National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2544
2019,26,224,12U Major 07,New Jersey Devils Youth American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2536
2019,26,224,12U Major 07,New York Saints American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2539
2019,26,224,12U Major 07,North Jersey Avalanche National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2545
2019,26,224,12U Major 07,Philadelphia Junior Flyers American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2537
2019,26,224,12U Major 07,Philadelphia Little Flyers American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2538
2019,26,224,12U Major 07,Team Maryland National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2546
2019,26,224,12U Major 07,Valley Forge Minutemen National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2547
2019,26,224,12U Major 07,Virtua Hockey National,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2548
2019,26,224,12U Major 07,Washington Little Capitals American,?seasonid=26&leaguetypeid=2&leagueid=224&teamid=2540
2019,26,223,12U Minor 08,CT Jr. Whalers National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2525
2019,26,223,12U Minor 08,Long Island Gulls National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2527
2019,26,223,12U Minor 08,Long Island Royals National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2528
2019,26,223,12U Minor 08,Mercer Chiefs American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2519
2019,26,223,12U Minor 08,New Jersey Colonials National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2529
2019,26,223,12U Minor 08,New Jersey Devils Youth American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2520
2019,26,223,12U Minor 08,New Jersey Jr. Titans American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2518
2019,26,223,12U Minor 08,North Jersey Avalanche National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2530
2019,26,223,12U Minor 08,Philadelphia Junior Flyers American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2521
2019,26,223,12U Minor 08,Philadelphia Little Flyers American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2522
2019,26,223,12U Minor 08,Team Maryland National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2531
2019,26,223,12U Minor 08,Valley Forge Minutemen National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2532
2019,26,223,12U Minor 08,Virtua Hockey National,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2533
2019,26,223,12U Minor 08,Washington Little Capitals American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2523
2019,26,223,12U Minor 08,WB/Scranton Jr. Knights American,?seasonid=26&leaguetypeid=2&leagueid=223&teamid=2524
2019,26,226,14U Major 05,Long Island Gulls National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2573
2019,26,226,14U Major 05,Long Island Royals National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2574
2019,26,226,14U Major 05,Mercer Chiefs American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2567
2019,26,226,14U Major 05,New Jersey Colonials National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2575
2019,26,226,14U Major 05,New Jersey Devils Youth National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2576
2019,26,226,14U Major 05,New Jersey Jr. Titans American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2566
2019,26,226,14U Major 05,New York Saints American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2569
2019,26,226,14U Major 05,North Jersey Avalanche National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2577
2019,26,226,14U Major 05,Philadelphia Junior Flyers National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2578
2019,26,226,14U Major 05,Philadelphia Little Flyers American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2568
2019,26,226,14U Major 05,Team Maryland American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2570
2019,26,226,14U Major 05,Valley Forge Minutemen National,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2579
2019,26,226,14U Major 05,Virtua Hockey American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2571
2019,26,226,14U Major 05,Washington Little Capitals American,?seasonid=26&leaguetypeid=2&leagueid=226&teamid=2572
2019,26,225,14U Minor 06,CT Chiefs American,?seasonid=26&leaguetypeid=2&leagueid=225&teamid=2549
2019,26,225,14U Minor 06,CT Jr. Whalers American,?seasonid=26&leaguetypeid=2&leagueid=225&teamid=2550
